nome,preparacao,nome_busca,kcal_100g,proteina_g,carboidrato_g,gordura_g,fibra_g,sodio_mg,gordura_saturada_g,gordura_trans_g,acucar_g,colesterol_mg,fonte
ABOBORA,ENSOPADO,abobora ensopado,36.39,0.72,4.9,1.92,1.1,1.0,0.3,,3.3,,IBGE
ABOBORA,SOPA,abobora sopa,31.44,0.95,7.01,0.12,0.71,310.43,0.04,0.0,3.28,,IBGE
ABOBORA,NAO SE APLICA,abobora,20.0,0.72,4.9,0.07,1.1,1.0,0.04,,3.3,,IBGE
PEPINO,NAO SE APLICA,pepino,15.0,0.65,3.63,0.11,1.14,2.0,0.04,,1.67,,IBGE
CHUCHU,CRU(A),chuchu cru,24.0,0.62,5.09,0.48,2.8,1.0,0.09,,1.97,,IBGE
CHUCHU,COZIDO(A),chuchu cozido,24.0,0.62,5.09,0.48,2.8,1.0,0.09,,1.97,,IBGE
CHUCHU,ASSADO(A),chuchu assado,24.0,0.76,5.15,0.42,2.54,105.6,0.07,,1.97,,IBGE
CHUCHU,REFOGADO(A),chuchu refogado,49.09,0.62,5.09,3.32,2.8,1.0,0.49,,1.97,,IBGE
CHUCHU,MOLHO VERMELHO,chuchu ao molho vermelho,24.0,0.76,5.15,0.42,2.54,105.6,0.07,,2.43,,IBGE
CHUCHU,AO ALHO E OLEO,chuchu ao alho e oleo,49.09,0.62,5.09,3.32,2.8,1.0,0.49,,1.97,,IBGE
CHUCHU,AO VINAGRETE,chuchu ao vinagrete,24.0,0.62,5.09,0.48,2.8,1.0,0.09,,1.97,,IBGE
CHUCHU,ENSOPADO,chuchu ensopado,49.09,0.62,5.09,3.32,2.8,1.0,0.49,,1.97,,IBGE
CHUCHU,SOPA,chuchu sopa,31.44,0.95,7.01,0.12,0.71,310.43,0.04,0.0,3.28,,IBGE
JILO,CRU(A),jilo cru,22.0,1.87,4.51,0.21,2.5,6.0,0.05,,2.26,,IBGE
JILO,COZIDO(A),jilo cozido,22.0,1.87,4.51,0.21,2.5,6.0,0.05,,2.26,,IBGE
